Game Date,Away Team,Home Team,Away Record,Home Record,Away Score,Home Score,Winning Pitcher,Winning IP,Winning H,Winning ER,Winning K,Winning BB,Losing Pitcher,Losing IP,Losing H,Losing ER,Losing K,Losing BB
2025-04-26,Houston Astros,Kansas City Royals,13-13,14-14,0,2,M. Wacha,6.0,4,0,6,2,F. Valdez,8.0,3,2,5,2
2025-04-26,Atlanta Braves,Arizona Diamondbacks,12-14,14-13,8,7,R. Iglesias,1.0,2,1,0,0,J. Martinez,1.0,0,0,0,1
2025-04-26,Tampa Bay Rays,San Diego Padres,13-14,17-10,4,1,R. Pepiot,6.0,3,1,3,2,D. Cease,4.1,6,2,6,4
2025-04-26,Pittsburgh Pirates,Los Angeles Dodgers,11-17,17-10,4,8,K. Yates,1.0,1,0,1,1,C. Holderman,0.0,2,3,0,1
2025-04-26,Miami Marlins,Seattle Mariners,12-14,15-12,0,14,L. Castillo,6.0,1,0,5,2,C. Gillispie,2.0,6,7,2,3
2025-04-27,New York Mets,Washington Nationals,19-9,13-15,7,8,J. Lopez,0.1,0,0,0,0,R. Stanek,0.1,2,1,0,1
2025-04-27,Toronto Blue Jays,New York Yankees,13-14,16-11,2,11,M. Fried,6.0,5,0,3,2,K. Gausman,2.2,3,6,2,5
2025-04-27,Baltimore Orioles,Detroit Tigers,10-17,18-10,0,7,T. Skubal,6.0,4,0,11,0,D. Kremer,5.2,4,5,3,4
2025-04-27,Los Angeles Angels,Minnesota Twins,12-15,12-16,0,5,J. Ryan,7.0,4,0,11,1,J. Soriano,5.0,5,3,4,1
2025-04-27,Boston Red Sox,Cleveland Guardians,16-14,15-12,13,3,B. Bello,6.0,6,3,4,3,L. Allen,4.1,9,7,2,3
2025-04-27,Houston Astros,Kansas City Royals,14-13,14-15,7,3,H. Brown,6.0,7,1,9,1,K. Bubic,5.0,5,4,4,3
2025-04-27,Milwaukee Brewers,St. Louis Cardinals,14-15,12-16,7,1,J. Quintana,5.0,5,1,6,3,E. Fedde,5.2,10,7,4,2
2025-04-27,Cincinnati Reds,Colorado Rockies,15-13,4-23,8,1,N. Lodolo,7.0,2,0,9,1,B. Blalock,4.0,7,6,1,2
2025-04-27,Texas Rangers,San Francisco Giants,15-13,19-10,2,3,C. Doval,1.0,0,0,2,0,L. Jackson,0.0,1,0,0,0
2025-04-27,Chicago White Sox,Athletics,7-21,14-14,2,3,G. Holman,1.0,2,0,0,0,J. Leasure,0.1,1,1,1,0
2025-04-27,Atlanta Braves,Arizona Diamondbacks,12-15,15-13,4,6,B. Pfaadt,6.0,9,2,6,1,S. Schwellenbach,6.0,7,3,6,1
2025-04-27,Miami Marlins,Seattle Mariners,12-15,16-12,6,7,L. Evans,5.0,2,2,3,3,M. Meyer,4.0,5,5,6,4
2025-04-27,Pittsburgh Pirates,Los Angeles Dodgers,11-18,18-10,2,9,B. Casparius,3.2,2,0,5,0,B. Falter,4.1,8,5,2,2
2025-04-27,Tampa Bay Rays,San Diego Padres,14-14,17-11,4,2,Z. Littell,5.0,5,2,1,1,R. Vasquez,4.2,5,3,1,2
2025-04-27,Toronto Blue Jays,New York Yankees,13-15,17-11,1,5,T. Hill,1.0,1,0,0,0,C. Bassitt,5.2,6,4,5,1
2025-04-27,Philadelphia Phillies,Chicago Cubs,15-13,17-12,3,1,J. Alvarado,1.0,0,0,1,0,J. Merryweather,0.2,1,1,0,3
2025-04-28,New York Mets,Washington Nationals,20-9,13-16,19,5,G. Canning,5.0,4,0,5,3,T. Williams,5.1,5,5,5,2
2025-04-28,Minnesota Twins,Cleveland Guardians,13-16,15-13,11,1,B. Ober,7.2,8,1,2,0,G. Williams,2.0,7,4,2,2
